id,id_powiatu,nazwa
855,123,gm. Kozłów
856,123,gm. Książ Wielki
857,123,gm. Miechów
858,123,gm. Racławice
859,123,gm. Słaboszów
860,124,gm. Dobczyce
861,124,gm. Lubień
862,124,gm. Myślenice
863,124,gm. Pcim
864,124,gm. Raciechowice
865,124,gm. Siepraw
866,124,gm. Sułkowice
867,124,gm. Tokarnia
868,124,gm. Wiśniowa
869,125,gm. Chełmiec
870,125,gm. Gródek nad Dunajcem
871,125,gm. Grybów
872,125,gm. Kamionka Wielka
873,125,gm. Korzenna
874,125,gm. Krynica-Zdrój
875,125,gm. Łabowa
876,125,gm. Łącko
877,125,gm. Łososina Dolna
878,125,gm. Muszyna
879,125,gm. Nawojowa
880,125,gm. Piwniczna-Zdrój
881,125,gm. Podegrodzie
882,125,gm. Rytro
883,125,gm. Stary Sącz
884,125,m. Grybów
885,126,gm. Czarny Dunajec
886,126,gm. Czorsztyn
887,126,gm. Jabłonka
888,126,gm. Krościenko nad Dunajcem
889,126,gm. Lipnica Wielka
890,126,gm. Łapsze Niżne
891,126,gm. Nowy Targ
892,126,gm. Ochotnica Dolna
893,126,gm. Raba Wyżna
894,126,gm. Rabka-Zdrój
895,126,gm. Spytkowice
896,126,gm. Szaflary
897,126,gm. Szczawnica
898,126,m. Nowy Targ
899,127,Nowy Sącz
900,128,gm. Bolesław
901,128,gm. Klucze
902,128,gm. Olkusz
903,128,gm. Trzyciąż
904,128,gm. Wolbrom
905,128,m. Bukowno
906,129,gm. Brzeszcze
907,129,gm. Chełmek
908,129,gm. Kęty
909,129,gm. Osiek
910,129,gm. Oświęcim
911,129,gm. Polanka Wielka
912,129,gm. Przeciszów
913,129,gm. Zator
914,129,m. Oświęcim
915,130,gm. Koniusza
916,130,gm. Koszyce
917,130,gm. Nowe Brzesko
918,130,gm. Pałecznica
919,130,gm. Proszowice
920,130,gm. Radziemice
921,131,gm. Budzów
922,131,gm. Bystra-Sidzina
923,131,gm. Jordanów
924,131,gm. Maków Podhalański
925,131,gm. Stryszawa
926,131,gm. Zawoja
927,131,gm. Zembrzyce
928,131,m. Jordanów
929,131,m. Sucha Beskidzka
930,132,gm. Ciężkowice
931,132,gm. Gromnik
932,132,gm. Lisia Góra
933,132,gm. Pleśna
934,132,gm. Radłów
935,132,gm. Ryglice
936,132,gm. Rzepiennik Strzyżewski
937,132,gm. Skrzyszów
938,132,gm. Szerzyny
939,132,gm. Tarnów
940,132,gm. Tuchów
941,132,gm. Wierzchosławice
942,132,gm. Wietrzychowice
943,132,gm. Wojnicz
944,132,gm. Zakliczyn
945,132,gm. Żabno
946,133,Tarnów
947,134,gm. Biały Dunajec
948,134,gm. Bukowina Tatrzańska
949,134,gm. Kościelisko
950,134,gm. Poronin
951,134,m. Zakopane
952,135,gm. Andrychów
953,135,gm. Brzeźnica
954,135,gm. Kalwaria Zebrzydowska
955,135,gm. Lanckorona
956,135,gm. Mucharz
957,135,gm. Spytkowice
958,135,gm. Stryszów
959,135,gm. Tomice
960,135,gm. Wadowice
961,135,gm. Wieprz
962,136,gm. Biskupice
963,136,gm. Gdów
964,136,gm. Kłaj
965,136,gm. Niepołomice
966,136,gm. Wieliczka
967,137,gm. Białobrzegi
968,137,gm. Promna
969,137,gm. Radzanów
970,137,gm. Stara Błotnica
971,137,gm. Stromiec
972,137,gm. Wyśmierzyce
973,138,gm. Ciechanów
974,138,gm. Glinojeck
975,138,gm. Gołymin-Ośrodek
976,138,gm. Grudusk
977,138,gm. Ojrzeń
978,138,gm. Opinogóra Górna
979,138,gm. Regimin
980,138,gm. Sońsk
981,138,m. Ciechanów
982,139,gm. Borowie
983,139,gm. Garwolin
984,139,gm. Górzno
985,139,gm. Łaskarzew
986,139,gm. Maciejowice
987,139,gm. Miastków Kościelny
988,139,gm. Parysów
989,139,gm. Pilawa
990,139,gm. Sobolew
991,139,gm. Trojanów
992,139,gm. Wilga
993,139,gm. Żelechów
994,139,m. Garwolin
995,139,m. Łaskarzew
996,140,gm. Gostynin
997,140,gm. Pacyna
