id,id_powiatu,nazwa
862,124,gm. Myœlenice
863,124,gm. Pcim
864,124,gm. Raciechowice
865,124,gm. Siepraw
866,124,gm. Su³kowice
867,124,gm. Tokarnia
868,124,gm. Wiœniowa
869,125,gm. Che³miec
870,125,gm. Gródek nad Dunajcem
871,125,gm. Grybów
872,125,gm. Kamionka Wielka
873,125,gm. Korzenna
874,125,gm. Krynica-Zdrój
875,125,gm. £abowa
876,125,gm. £¹cko
877,125,gm. £ososina Dolna
878,125,gm. Muszyna
879,125,gm. Nawojowa
880,125,gm. Piwniczna-Zdrój
881,125,gm. Podegrodzie
882,125,gm. Rytro
883,125,gm. Stary S¹cz
884,125,m. Grybów
885,126,gm. Czarny Dunajec
886,126,gm. Czorsztyn
887,126,gm. Jab³onka
888,126,gm. Kroœcienko nad Dunajcem
889,126,gm. Lipnica Wielka
890,126,gm. £apsze Ni¿ne
891,126,gm. Nowy Targ
892,126,gm. Ochotnica Dolna
893,126,gm. Raba Wy¿na
894,126,gm. Rabka-Zdrój
895,126,gm. Spytkowice
896,126,gm. Szaflary
897,126,gm. Szczawnica
898,126,m. Nowy Targ
899,127,Nowy S¹cz
900,128,gm. Boles³aw
901,128,gm. Klucze
902,128,gm. Olkusz
903,128,gm. Trzyci¹¿
904,128,gm. Wolbrom
905,128,m. Bukowno
906,129,gm. Brzeszcze
907,129,gm. Che³mek
908,129,gm. Kêty
909,129,gm. Osiek
910,129,gm. Oœwiêcim
911,129,gm. Polanka Wielka
912,129,gm. Przeciszów
913,129,gm. Zator
914,129,m. Oœwiêcim
915,130,gm. Koniusza
916,130,gm. Koszyce
917,130,gm. Nowe Brzesko
918,130,gm. Pa³ecznica
919,130,gm. Proszowice
920,130,gm. Radziemice
921,131,gm. Budzów
922,131,gm. Bystra-Sidzina
923,131,gm. Jordanów
924,131,gm. Maków Podhalañski
925,131,gm. Stryszawa
926,131,gm. Zawoja
927,131,gm. Zembrzyce
928,131,m. Jordanów
929,131,m. Sucha Beskidzka
930,132,gm. Ciê¿kowice
931,132,gm. Gromnik
932,132,gm. Lisia Góra
933,132,gm. Pleœna
934,132,gm. Rad³ów
935,132,gm. Ryglice
936,132,gm. Rzepiennik Strzy¿ewski
937,132,gm. Skrzyszów
938,132,gm. Szerzyny
939,132,gm. Tarnów
940,132,gm. Tuchów
941,132,gm. Wierzchos³awice
942,132,gm. Wietrzychowice
943,132,gm. Wojnicz
944,132,gm. Zakliczyn
945,132,gm. ¯abno
946,133,Tarnów
947,134,gm. Bia³y Dunajec
948,134,gm. Bukowina Tatrzañska
949,134,gm. Koœcielisko
950,134,gm. Poronin
951,134,m. Zakopane
952,135,gm. Andrychów
953,135,gm. BrzeŸnica
954,135,gm. Kalwaria Zebrzydowska
955,135,gm. Lanckorona
956,135,gm. Mucharz
957,135,gm. Spytkowice
958,135,gm. Stryszów
959,135,gm. Tomice
960,135,gm. Wadowice
961,135,gm. Wieprz
962,136,gm. Biskupice
963,136,gm. Gdów
964,136,gm. K³aj
965,136,gm. Niepo³omice
966,136,gm. Wieliczka
967,137,gm. Bia³obrzegi
968,137,gm. Promna
969,137,gm. Radzanów
970,137,gm. Stara B³otnica
971,137,gm. Stromiec
